"config_id","description","n_col","n_row","a","b","visible_pixels","row_coverage","col_coverage","sigma","rep","method","mse"
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,28,"row.col",0.000467169107054456
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,28,"col.col",0.000208554312643022
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,29,"row.row",0.00155619449380834
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,29,"col.row",0.000587627799815658
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,29,"row.col",0.000568791167706392
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,29,"col.col",0.000282655983315549
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,30,"row.row",0.000842042342531193
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,30,"col.row",0.000685144350068536
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,30,"row.col",0.000486560928308594
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,30,"col.col",0.000298049227864005
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,31,"row.row",0.000795779815509674
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,31,"col.row",0.000575291322832653
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,31,"row.col",0.000501344216249119
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,31,"col.col",0.00022427123353493
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,32,"row.row",0.0020406003681047
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,32,"col.row",0.000582641874071606
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,32,"row.col",0.000850538980509009
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,32,"col.col",0.00033493105194069
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,33,"row.row",0.0013597692727909
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,33,"col.row",0.000637256082081937
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,33,"row.col",0.000782735189342942
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,33,"col.col",0.000419371318542477
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,34,"row.row",0.0013222179450056
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,34,"col.row",0.000665624180800131
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,34,"row.col",0.000481717870862375
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,34,"col.col",0.000296034030376431
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,35,"row.row",0.00064094366263527
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,35,"col.row",0.000507193948770478
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,35,"row.col",0.00037340322992005
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,35,"col.col",0.000291739502728834
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,36,"row.row",0.00106494430027854
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,36,"col.row",0.000575138809436822
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,36,"row.col",0.000571342634328303
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,36,"col.col",0.000302371904855662
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,37,"row.row",0.00154698477917344
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,37,"col.row",0.00076655040972207
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,37,"row.col",0.000537404727698582
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,37,"col.col",0.000435417787649845
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,38,"row.row",0.000714891110919174
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,38,"col.row",0.000661799690937055
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,38,"row.col",0.000320289307606619
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,38,"col.col",0.000250232538488177
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,39,"row.row",0.00140694457410187
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,39,"col.row",0.000639143135061135
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,39,"row.col",0.000573545226967439
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,39,"col.col",0.000240020136605668
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,40,"row.row",0.00150238590786284
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,40,"col.row",0.000542912801286585
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,40,"row.col",0.000668996975086845
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,40,"col.col",0.000280426941032078
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,41,"row.row",0.00100798741608049
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,41,"col.row",0.000575393490319884
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,41,"row.col",0.000327113739973491
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,41,"col.col",0.000284802882194253
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,42,"row.row",0.00147357287223218
"diag_pos_full","Positive full diagonal",100,100,1,0,100,1,1,0.2,42,"col.row",0.0007041045691176
