"rep","grid_id","grid_label","rho_step","theta_step","pred_rho","pred_theta","dr","dtheta"
23,"coarse","Крупный шаг",5,1,-12,3,133.466873708001,0.10371939430479
23,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
23,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
23,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
24,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
24,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
24,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
24,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
25,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
25,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
25,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
25,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
26,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
26,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
26,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
26,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
27,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
27,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
27,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
27,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
28,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
28,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
28,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
28,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
29,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
29,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
29,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
29,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
30,"coarse","Крупный шаг",5,1,-7,3,42.9390096630006,0.10371939430479
30,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
30,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
30,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
31,"coarse","Крупный шаг",5,1,-32,3,995.578329888003,0.10371939430479
31,"medium","Средний шаг",1,0.01,0,2.67,0.2,6.31237335209922e-05
31,"fine","Мелкий шаг",0.5,0.005,0,2.675,0.2,8.67328763111984e-06
31,"very_fine","Очень мелкий шаг",0.25,0.0025,-0.5,2.6775,0.00278640450004206,1.98064686186389e-07
