"config_id","config_label","sigma","rep","method","method_label","grid_label","rho_step","theta_step","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_pos_full","Положительная диагональ",0.05,5,"wiener","Wiener","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,4609
"diag_pos_full","Положительная диагональ",0.05,5,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,4609
"diag_pos_full","Положительная диагональ",0.05,5,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,5,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,0,2.36,0,1.44819048961587e-05,0.353553390593274,1000
"diag_pos_full","Положительная диагональ",0.05,5,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,0,2.355,0,1.42680681960805e-06,0,1000
"diag_neg_full","Отрицательная диагональ",0.05,1,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,2008
"diag_neg_full","Отрицательная диагональ",0.05,1,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,2008
"diag_neg_full","Отрицательная диагональ",0.05,1,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,2008
"diag_neg_full","Отрицательная диагональ",0.05,1,"bm3d","BM3D","$2; 0.02$",2,0.02,72,0.8,0.338974422852812,0.00021321363216762,0.5939696961967,2666
"diag_neg_full","Отрицательная диагональ",0.05,1,"bm3d","BM3D","$1; 0.01$",1,0.01,71,0.8,0.1745442225354,0.00021321363216762,0.5939696961967,2666
"diag_neg_full","Отрицательная диагональ",0.05,1,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,2666
"diag_neg_full","Отрицательная диагональ",0.05,1,"median","Median","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4921
"diag_neg_full","Отрицательная диагональ",0.05,1,"median","Median","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,4921
"diag_neg_full","Отрицательная диагональ",0.05,1,"median","Median","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4921
"diag_neg_full","Отрицательная диагональ",0.05,1,"wiener","Wiener","$2; 0.02$",2,0.02,72,0.8,0.338974422852812,0.00021321363216762,0.5939696961967,4725
