"config_id","config_label","sigma","rep","method","method_label","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_neg_full","Отрицательная диагональ",0.2,6,"cssa_row_row","CSSA ROW-ROW",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,172
"diag_neg_full","Отрицательная диагональ",0.2,6,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,100
"diag_neg_full","Отрицательная диагональ",0.2,6,"median","Median",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1361
"diag_neg_full","Отрицательная диагональ",0.2,6,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,473
"diag_neg_full","Отрицательная диагональ",0.2,6,"quantile_09","Quantile 0.9",71,0.78,0.1745442225354,2.91401680655501e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,7,"cssa_row_row","CSSA ROW-ROW",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,165
"diag_neg_full","Отрицательная диагональ",0.2,7,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,100
"diag_neg_full","Отрицательная диагональ",0.2,7,"median","Median",72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1207
"diag_neg_full","Отрицательная диагональ",0.2,7,"wiener","Wiener",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,468
"diag_neg_full","Отрицательная диагональ",0.2,7,"quantile_09","Quantile 0.9",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.2,8,"cssa_row_row","CSSA ROW-ROW",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,178
"diag_neg_full","Отрицательная диагональ",0.2,8,"bm3d","BM3D",71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,100
"diag_neg_full","Отрицательная диагональ",0.2,8,"median","Median",72,0.79,0.338974422852812,2.11769001165851e-05,0.353553390593274,1325
